Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,LOGRET_16,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2022-02-09 09:30:00-05:00,176.0500030517578,176.6199951171875,175.11000061035156,175.67999267578125,17549620,0.0,0.0,,,,,
2022-02-09 10:30:00-05:00,175.72000122070312,176.16990661621094,175.1999969482422,175.4499969482422,8176642,0.0,0.0,,,,,
2022-02-09 11:30:00-05:00,175.44000244140625,175.80990600585938,175.22000122070312,175.5612030029297,6012430,0.0,0.0,,,,,
2022-02-09 12:30:00-05:00,175.57000732421875,175.9199981689453,175.42999267578125,175.6199951171875,5001872,0.0,0.0,,,,,
2022-02-09 13:30:00-05:00,175.6199951171875,176.0500030517578,175.43499755859375,175.91009521484375,5159335,0.0,0.0,,,,,
2022-02-09 14:30:00-05:00,175.9199981689453,176.1199951171875,174.89999389648438,175.59800720214844,7179356,0.0,0.0,,,,,
2022-02-09 15:30:00-05:00,175.59100341796875,176.3300018310547,175.5050048828125,176.27999877929688,9117572,0.0,0.0,,,,,
2022-02-10 09:30:00-05:00,174.10000610351562,175.47999572753906,173.75,174.9199981689453,18623986,0.0,0.0,,,,,
2022-02-10 10:30:00-05:00,174.9499969482422,175.22000122070312,173.7899932861328,174.39999389648438,11641393,0.0,0.0,,,,,
2022-02-10 11:30:00-05:00,174.38999938964844,175.02000427246094,173.89999389648438,174.9199981689453,7112503,0.0,0.0,,,,,
2022-02-10 12:30:00-05:00,174.9199981689453,175.05999755859375,172.3699951171875,173.13999938964844,11039035,0.0,0.0,,,,,
2022-02-10 13:30:00-05:00,173.1300048828125,173.5800018310547,172.52000427246094,173.06100463867188,9324756,0.0,0.0,,,,,
2022-02-10 14:30:00-05:00,173.07000732421875,173.55999755859375,172.4499969482422,172.7050018310547,8303783,0.0,0.0,,,,,
2022-02-10 15:30:00-05:00,172.69000244140625,172.88999938964844,171.5500030517578,172.25999450683594,10592921,0.0,0.0,,,,,
2022-02-11 09:30:00-05:00,172.3300018310547,173.0800018310547,171.02999877929688,171.72000122070312,18452711,0.0,0.0,,22.817862649148683,,,
2022-02-11 10:30:00-05:00,171.72999572753906,172.69500732421875,171.39999389648438,172.05999755859375,9111763,0.0,0.0,,26.511851479540145,,,
2022-02-11 11:30:00-05:00,172.05999755859375,172.1999969482422,171.3000030517578,171.80999755859375,6918995,0.0,0.0,-0.02227491576652828,25.543765032157378,,,
2022-02-11 12:30:00-05:00,171.8000030517578,172.07000732421875,171.02000427246094,171.02499389648438,6087541,0.0,0.0,-0.025544375676130295,22.736323735067433,,,
2022-02-11 13:30:00-05:00,171.02999877929688,171.04949951171875,168.5,168.97999572753906,16404665,0.0,0.0,-0.03820737773053939,17.37797603346837,,,
